sep=,
id,pageCat,imageCat,numberCat,itemInVolume,titleCat,titleBib,titleNormalized,author1,author2,author3,author4,contributor1,contributor2,contributor3,contributor4,place1,place2,publishers,year,format,histSubject,subjects,genres,mediaType,languages,systemManifestation,idManifestation,institutionOriginal,shelfmarkOriginal,provenanceAttribute,digitalCopyOriginal,targetOPAC,searchID,titleWork,systemWork,idWork,bound,comment,digitalCopy,copiesHAB
ausleihbuecher0,,,,0,,"Jo. Vigierii Opera medicochirurgica quae continent Chirurgiam magnam ... Ex variis
            authoribus Graec., Lat., Arab. et Neotericis compilata, Gall. idiomate primum ed., nunc
            vero Lat. facta, recogn. et multum aucta, cum variis observationibus et operationibus à
            Joanne Vigierio filio. Cum ind. ...",,,,,,,,,,"Den Haag#getty7006810",,Vlacq,1659,"347, 142, 83 S.",,,,Druck,lat,GBV,151919542,HAB,"A: 49.3 Med. (1)",,,,,,,,1,,,,,,
ausleihbuecher1,,,,0,,"Scholarum mathematicarum libri 31 : Dudum quidem à Lazaro Schonero recogn. et
            aucti, nunc verò ... em. et locupletati",,,,,,,,,,"Franfurt am Main#getty7005293",,Schleich;Wechel,1627,"314 S.",,,,Druck,lat,GBV,151632715,HAB,"A: 17.1 Quod.",,,,,,,,1,,,,,,
ausleihbuecher2,,,,2V1,,"Speculum astrologiae [Band 1]",,,,,,,,,,Leiden#getty7006809,,Béraud,1581,,,,,Druck,lat,GBV,150074921,HAB,"A: 2.3 Astron. 2°",,,,,,,,1,,,,,,
ausleihbuecher3,,,,2V2,,"Speculum astrologiae [Band 2]",,,,,,,,,,Leiden#getty7006809,,Béraud,1581,,,,,Druck,lat,GBV,15007493X,HAB,"A: 2.4 Astron. 2°",,,,,,,,1,,,,,,
ausleihbuecher4,,,,0,,"Geburtsstundenbuch darinnen eines jetlichen Menschens Natur und Eigenschafft,
            sampt allerley zufählen, auß den gewissen Leuffen deren Gestirn ... mit geringer müh
            außgereitet, und derselb vor zufelligem Unfahl gewarnet ... werden mag ...",,,,,,,,,,Basel#getty7007269,,Henricpetri,1570,"440 Bl.",,,,Druck,ger,GBV,150743092,HAB,"A: 7 Astron. 2°",,,,,,,,1,,,,,,
ausleihbuecher5,,,,0,,"Urania Propitia Sive Tabulae Astronomicae mire faciles, vim hypothesium physicarum
            a Kepplero proditarum complexae; facillimo calculandi compendio, sine ulla Logarithmorum
            mentione, phaenomenis satisfacientes ... Das ist: Newe und Langgewünschete/ leichte
            Astronomische Tabelln/ durch derer vermittelung auff eine sonders behende Arth/ aller
            Planeten Bewegung/ nach der länge/ breite/ und andern Zufällen/ auff alle vergangene/
            gegenwertige/ und künfftige Zeits-Puncten fürgestellet wird ...",,,,,,,,,,Pitschen#getty1048958,Oels#getty1049316,Cunitz;Seyffert,1650,"[12] Bl., 144 [i.e. 146] S., [1] Bl., S. 147-264, [1] Bl., 286 S., [1] Bl., [4] gef. Bl.",,Astronomie,Frauenliteratur,Druck,ger;lat,GBV,092177980,HAB,"A: 13.2 Astron. 2°",,,,,,,,1,,,,,,
ausleihbuecher6,,,,1,,"Almagestum novum astronomiam veterem novamque complectens observationibus aliorum,
            et propriis novisque theorematibus, problematibus, ac tabulis promotam [Band 1]",,,,,,,,,,Bologna#getty7004847,,Benacci,1651,,,,,Druck,lat,GBV,15147348X,HAB,"A: 2.1.3 Astron. 2° (1)",,,,,,,,1,,,,,,
ausleihbuecher7,,,,0,,"Novissima Polyanthea: In Libros XX Dispertita ; Opus praeclarum, ... cum
            Graecarum, tum Latinarum refertum",,,,,,,,,,"Frankfurt am Main#getty7005293",,Zetzner,1613,"[4] Bl., 1439 [i.e. 1433] S.",,,,Druck,lat,GBV,151171858,HAB,"A: 16 Quod. 2°",,,,,,,,1,,,,,,
ausleihbuecher8,,,,0,,"L'Architecture des voutes ou l'art des traits et coupe des voutes: Traicte
            ...",,,,,,,,,,Paris#getty7008038,,Cramoisy,1643,"[13] Bl., 453 S.",,,,Druck,fre,GBV,150322801,HAB,"A: F 4 Geom. 2°",,,,,,,,1,,,,,,
ausleihbuecher9,,,,2V1,,"Della Trasportatione Dell'Obelisco Vaticano Et Delle Fabriche Di Nostro Signore
            Papa Sisto V. [Band 1]",,,,,,,,,,Rom#getty7000874,,Basa,1590,"94 [i.e. 95], [1] S.",,,,Druck,ita,GBV,135091489,HAB,"A: 2 Geom. 2° (1)",,,,,,,,1,,,,,,
ausleihbuecher10,,,,0,,"Discorsi sopra l'antiquità di Roma",,,,,,,,,,Venedig#getty7018159,,Ziletti,1582,"40 S.",,,,Druck,ita,GBV,150781741,HAB,"A: 32.3 Geom. 2°",,,,,,,,1,,,,,,
ausleihbuecher11,,,,3V3,,"Theatrum architecturae civiles [Band 3]",,,,,,,,,,Güstrow#getty7004797,,Spierling,1684,,,,,Druck,ger,GBV,151410615,HAB,"A: 4.4 Geom. 2°",,,,,,,,1,,,,,,
